board_size,coordinates,MN_time,Eval_time,num_times_passed,num_times_failed
11,(7 9),28.063511,0.001250,460,0
11,(7 10),9.229013,0.001416,461,0
11,(7 11),13.348121,0.001433,462,0
11,(8 1),0.900757,0.001492,463,0
11,(8 2),552.637823,0.001383,464,0
11,(8 3),8.521639,0.001284,465,0
11,(8 4),0.173718,0.001626,466,0
11,(8 5),11.107473,0.001357,467,0
11,(8 6),9.630610,0.001460,468,0
11,(8 7),666.878592,0.001431,469,0
11,(8 8),0.109870,0.001752,470,0
11,(8 9),16.763717,0.001222,471,0
11,(8 10),430.203784,0.001419,472,0
11,(8 11),23.167117,0.001412,473,0
11,(9 1),23.271125,0.001342,474,0
11,(9 2),27.964061,0.001337,475,0
11,(9 3),15.516863,0.001328,476,0
11,(9 4),31.847542,0.001248,477,0
11,(9 5),395.398810,0.001479,478,0
11,(9 6),0.157172,0.001426,479,0
11,(9 7),8.934322,0.001365,480,0
11,(9 8),368.365500,0.001295,481,0
11,(9 9),18.038678,0.001311,482,0
11,(9 10),50.448723,0.001240,483,0
11,(9 11),9.545664,0.001423,484,0
11,(10 1),41.551842,0.001370,485,0
11,(10 2),29.986,.0014741,486,0
11,(10 3),37.359,.0012460,487,0
11,(10 4),429.03,.001.5879,488,0
11,(10 5),0.5696,.0012000,489,0
11,(10 6),14.036,.0012639,490,0
11,(10 7),19.791,.00129913,491,0
11,(10 8),0.023038,.0013032,492,0
11,(10 9),27.734,.0014231,493,0
11,(10 10),9.7738,.0013750,494,0
11,(10 11),6.4299,.00138283,495,0
11,(11 1),379.24,.0013490,496,0
11,(11 2),510.41,.00124503,497,0

12,(1 1),326.301668,0.004621,1,0
12,(1 2),320.247602,0.001281,2,0
12,(1 3),13471.452991,0.001236,3,0
12,(1 4),1278.323644,0.001238,4,0
12,(1 5),343.138828,0.001249,5,0
12,(1 6),24.850380,0.001303,6,0
12,(1 7),8.559936,0.001260,7,0
12,(1 8),18.162515,0.001235,8,0
12,(1 9),38.742870,0.001238,9,0
12,(1 10),582.568039,0.001222,10,0
12,(1 11),0.336606,0.001192,11,0
12,(1 12),475.068155,0.001453,12,0
12,(2 1),13404.055607,0.001215,13,0
12,(2 2),190.500534,0.001202,14,0
12,(2 3),338.361419,0.001216,15,0
12,(2 4),928.821607,0.001252,16,0
12,(2 5),221.509861,0.001261,17,0
12,(2 6),14.988349,0.001201,18,0
12,(2 7),17.498318,0.001214,19,0
12,(2 8),385.157308,0.001304,20,0
12,(2 9),19.575847,0.001209,21,0
12,(2 10),24.826777,0.001320,22,0
12,(2 11),338.385576,0.001417,23,0
12,(2 12),8.501567,0.001272,24,0
12,(3 1),314.786203,0.001205,25,0
12,(3 2),926.808731,0.001361,26,0
12,(3 3),771.320740,0.001364,27,0
12,(3 4),283.939006,0.001448,28,0
12,(3 5),337.409004,0.001252,29,0
12,(3 6),164.330170,0.001253,30,0
